hero_id,item_0,item_1,item_2,item_3,item_4,item_5
25,77,244,29,232,116,0
21,7,596,116,1,29,0
98,11,100,36,178,125,131
86,34,29,1,43,232,244
14,152,1,131,125,108,29
36,201,65,131,273,596,63
6,596,170,141,63,123,263
106,123,168,108,48,569,166
72,37,36,190,102,0,29
85,188,2,16,180,79,0
25,77,244,29,232,116,0
21,7,596,116,1,29,0
98,11,100,36,178,125,131
86,34,29,1,43,232,244
14,152,1,131,125,108,29
36,201,65,131,273,596,63
6,596,170,141,63,123,263
106,123,168,108,48,569,166
72,37,36,190,102,0,29
85,188,2,16,180,79,0
111,43,214,188,36,232,39
19,1,180,244,0,0,0
35,63,152,172,166,236,75
126,11,108,534,36,41,29
8,50,36,166,20,11,154
52,41,1,36,29,121,100
128,34,0,108,0,0,180
14,36,73,131,108,50,0
31,254,0,43,188,0,180
136,596,11,13,36,116,50
19,149,50,36,1,252,41
73,137,116,178,48,1,112
21,188,36,174,40,43,63
71,50,152,13,108,244,0
84,43,36,180,21,0,0
129,1,11,36,232,13,50
27,0,214,34,0,232,0
109,36,160,147,236,149,63
120,569,75,180,174,143,40
9,75,236,180,174,0,0
13,1,176,48,534,41,235
18,112,116,250,63,603,249
86,1,36,218,29,232,188
89,223,98,36,108,598,63
5,36,214,185,20,21,0
97,1,223,0,13,116,29
68,218,188,254,34,38,214
119,214,0,0,100,36,190
23,11,13,48,249,116,43
11,116,147,63,172,236,249
114,63,598,158,569,116,36
88,214,218,102,34,188,244
96,1,102,36,29,125,162
120,41,108,1,36,174,180
86,214,0,31,102,1,232
29,36,119,50,90,908,30
52,48,108,121,9,116,117
6,63,116,143,263,249,36
51,50,40,108,36,0,244
5,214,254,36,102,21,42
86,29,232,1,108,0,0
7,1,100,36,73,190,29
56,63,168,160,1466,596,149
5,36,116,188,214,102,593
11,236,116,156,63,139,249
109,160,116,170,63,485,236
25,48,36,41,108,235,596
51,108,36,23,29,244,593
43,267,63,21,36,596,273
87,188,0,180,36,28,254
38,931,116,635,34,30,11
5,43,21,102,75,36,214
128,9,36,16,231,102,56
22,273,108,1,48,41,232
10,63,147,123,36,116,108
69,116,1,29,36,119,65
100,50,1,168,36,116,569
89,63,114,147,123,88,98
64,102,0,244,36,232,29
51,214,36,0,254,218,21
85,188,0,180,218,81,79
89,223,63,108,908,244,34
76,16,63,1,65,232,108
9,108,36,180,75,75,75
109,596,236,123,63,149,147
56,596,63,0,1466,168,160
50,0,77,254,188,29,256
11,236,147,63,135,36,116
28,1,172,36,247,21,63
112,29,1,188,232,218,108
35,63,166,236,75,116,55
38,635,40,1,0,29,21
5,0,188,36,40,214,185
86,232,0,77,36,214,0
19,41,244,1,67,36,50
96,36,1,29,12,242,31
25,48,41,232,36,60,28
89,63,11,147,88,114,36
64,0,180,0,34,0,244
88,244,42,0,34,29,593
48,263,172,147,63,11,34
52,237,29,41,121,36,116
136,43,36,50,143,569,0
60,50,143,36,13,21,11
64,28,188,40,180,36,254
9,188,267,0,36,100,29
14,50,108,31,36,41,116
98,178,29,131,273,121,569
93,11,36,63,108,598,174
75,65,593,69,43,34,29
7,36,244,214,1,0,232
52,48,119,1,121,116,100
120,36,256,1,29,56,908
109,139,112,147,160,116,141
50,79,34,256,29,218,0
4,33,158,135,50,208,116
19,1,116,34,43,235,29
38,256,30,180,116,90,635
25,48,116,156,135,249,1
136,143,116,34,50,218,16
14,108,36,29,1,125,31
120,180,1,174,36,569,41
86,40,1,0,36,180,232
61,178,98,108,59,63,57
83,34,908,16,214,38,16
72,26,141,0,63,108,0
9,29,36,267,43,23,75
25,596,41,249,0,48,36
98,0,176,77,77,692,11
75,88,218,36,180,0,102
18,112,156,249,63,1,116
22,235,110,273,108,48,1
5,232,214,188,254,0,1
61,90,108,180,96,908,30
101,1,96,206,265,36,29
100,36,40,0,1,102,214
25,48,232,1,41,108,176
29,36,908,1,29,9,90
10,149,63,147,596,116,160
136,34,21,244,50,0,8
70,145,50,1,21,36,265
51,73,73,131,214,20,14
128,254,188,0,36,29,0
92,108,29,240,185,36,596
41,63,36,154,75,65,166
25,48,116,263,596,55,9
101,180,102,36,38,30,88
58,29,269,102,37,188,40
137,50,273,36,244,116,73
135,36,908,50,73,11,0
11,63,172,147,236,65,75
83,40,36,223,214,188,218
137,218,226,50,40,36,188
29,50,6,178,908,36,108
120,29,174,226,41,569,8
51,21,75,242,214,75,40
4,249,50,116,36,147,158
75,63,534,218,88,263,36
92,240,931,596,96,36,108
38,635,29,116,36,11,0
41,116,63,172,166,36,75
5,29,116,40,232,1,43
52,41,29,121,36,77,100
107,38,267,116,29,43,40
114,63,116,208,598,160,168
51,214,96,1,127,108,30
25,48,596,604,116,235,108
88,188,201,1,214,0,36
137,50,73,1,36,116,273
33,908,116,1,40,29,244
89,117,75,114,63,139,147
77,635,30,11,29,86,185
